,dx,co,pe,ou,co_1 All Populations,co_2 HIV Testing Status,value
603,HTS_TST,AbDgvaSIj7p,202408,EpiC,MSM,Positive,14
612,HTS_TST,U1ux1V3DH3b,202408,EpiC,MSM,Positive,2
616,HTS_TST,TPfWcv4pV8X,202409,EpiC,MSM,Positive,3
617,HTS_TST,pl0vG8YHEQY,202408,EpiC,MSM,Negative,1
619,HTS_TST,o0w0jB0b9R5,202408,EpiC,Clients of FSW,Positive,2
625,HTS_TST,IIY8CqrT9lc,202408,EpiC,MSM,Negative,6
629,HTS_TST,wQyWuQHzTnJ,202407,EpiC,MSM,Negative,8
638,HTS_TST,ZavKaNa2vwE,202409,EpiC,MSM,Positive,23
644,HTS_TST,qWXHKrtFCqS,202409,EpiC,MSM,Negative,21
666,HTS_TST,jKDv5Ns0taU,202408,EpiC,Clients of FSW,Negative,4
678,HTS_TST,HIrrlCfNOnY,202408,EpiC,Clients of FSW,Negative,14
703,HTS_TST,sLSIW3BtH28,202408,EpiC,Clients of FSW,Negative,17
710,HTS_TST,FfqVaeWeO2n,202408,EpiC,MSM,Positive,7
715,HTS_TST,A7B75IWcZkT,202408,EpiC,Clients of FSW,Negative,1
724,HTS_TST,Prk5Eiysfk7,202408,EpiC,MSM,Negative,204
731,HTS_TST,pLhsCOzdQvn,202408,EpiC,Clients of FSW,Negative,90
767,HTS_TST,umuCczPKTS9,202409,EpiC,MSM,Positive,28
788,HTS_TST,faIFaR8VI1W,202408,EpiC,MSM,Positive,3
799,HTS_TST,wekFgCAgQu0,202409,EpiC,Clients of FSW,Positive,2
801,HTS_TST,d4dgy6tPwxi,202409,EpiC,Clients of FSW,Positive,2
808,HTS_TST,wyVJfsO5p5c,202408,EpiC,MSM,Positive,18
813,HTS_TST,vtyr01HplhD,202407,EpiC,MSM,Positive,4
825,HTS_TST,wyVJfsO5p5c,202407,EpiC,MSM,Positive,14
852,HTS_TST,a0BhEOh02Hx,202408,EpiC,Clients of FSW,Positive,1
878,HTS_TST,z85PlZZz53q,202407,EpiC,MSM,Positive,3
879,HTS_TST,Cka70IwxMHO,202408,EpiC,Clients of FSW,Negative,2
894,HTS_TST,mKdRd2pKKoX,202407,EpiC,MSM,Negative,1
902,HTS_TST,lT64HUrbqRo,202409,EpiC,MSM,Negative,217
928,HTS_TST,xKEaZMNqQoc,202407,EpiC,MSM,Positive,7
930,HTS_TST,XegXc2FQRuJ,202409,EpiC,Clients of FSW,Positive,1
937,HTS_TST,EqZgB9ThKzR,202409,EpiC,MSM,Positive,1
950,HTS_TST,aoF6Aq6iclZ,202408,EpiC,MSM,Negative,12
955,HTS_TST,LO4hwe7lmQe,202407,EpiC,MSM,Negative,52
960,HTS_TST,EAP4ZQHKcdc,202408,EpiC,MSM,Positive,5
974,HTS_TST,Cka70IwxMHO,202407,EpiC,Clients of FSW,Negative,1
979,HTS_TST,FfqVaeWeO2n,202407,EpiC,MSM,Positive,9
998,HTS_TST,a0BhEOh02Hx,202407,EpiC,Clients of FSW,Positive,4
1005,HTS_TST,umuCczPKTS9,202407,EpiC,MSM,Positive,5
1028,HTS_TST,WeWsNrrZQf0,202407,EpiC,MSM,Negative,1078
1030,HTS_TST,IIY8CqrT9lc,202407,EpiC,MSM,Negative,8
1037,HTS_TST,sS7Kt9UU9ix,202409,EpiC,Clients of FSW,Negative,3
1051,HTS_TST,YqploRxxTD8,202408,EpiC,Clients of FSW,Negative,10
1056,HTS_TST,YqploRxxTD8,202409,EpiC,Clients of FSW,Negative,2
1063,HTS_TST,m8X9jmCtcFn,202407,EpiC,MSM,Positive,7
1071,HTS_TST,aoF6Aq6iclZ,202407,EpiC,MSM,Negative,5
1085,HTS_TST,hDFxomWTE3I,202407,EpiC,MSM,Negative,17
1103,HTS_TST,d9Qg9Hl3coc,202407,EpiC,Clients of FSW,Negative,9
1104,HTS_TST,OWEeDc8HMQX,202407,EpiC,Clients of FSW,Negative,14
1109,HTS_TST,MclhZclEmu5,202407,EpiC,Clients of FSW,Negative,2
1112,HTS_TST,x83sWTX9UtF,202407,EpiC,MSM,Negative,1
1118,HTS_TST,d9Qg9Hl3coc,202408,EpiC,Clients of FSW,Negative,9
1125,HTS_TST,hR4tFfQGmNv,202407,EpiC,Clients of FSW,Negative,16
1130,HTS_TST,OWEeDc8HMQX,202408,EpiC,Clients of FSW,Negative,16
1131,HTS_TST,xKEaZMNqQoc,202408,EpiC,MSM,Positive,3
1155,HTS_TST,Qbt2uFIBrvh,202409,EpiC,MSM,Negative,4
1166,HTS_TST,hDFxomWTE3I,202408,EpiC,MSM,Negative,5
1169,HTS_TST,RaBuEijpO0j,202409,EpiC,Clients of FSW,Negative,25
1175,HTS_TST,z85PlZZz53q,202408,EpiC,MSM,Positive,2
1177,HTS_TST,mKdRd2pKKoX,202408,EpiC,MSM,Negative,2
1191,HTS_TST,ETLSIqCIwnG,202409,EpiC,Clients of FSW,Positive,1
1199,HTS_TST,EQIC0Os1S4C,202409,EpiC,MSM,Positive,1
1218,HTS_TST,BbjBOD2Sjg8,202407,EpiC,MSM,Negative,6
1229,HTS_TST,OhP24h8OrEo,202408,EpiC,Clients of FSW,Positive,1
1246,HTS_TST,xXVei1LIPWR,202407,EpiC,Clients of FSW,Positive,3
1255,HTS_TST,GJqcRQ5j7pi,202409,EpiC,MSM,Positive,2
1262,HTS_TST,HB7KhstRjlR,202408,EpiC,MSM,Positive,1
1282,HTS_TST,j11YIYclHSV,202408,EpiC,Clients of FSW,Negative,144
1307,HTS_TST,DnpGcVc2rFv,202407,EpiC,MSM,Positive,6
1319,HTS_TST,Jzmk4BU48a0,202409,EpiC,MSM,Positive,1
1322,HTS_TST,cJWGNEMM0QP,202408,EpiC,Clients of FSW,Negative,28
1333,HTS_TST,EaClOgCBByt,202409,EpiC,Clients of FSW,Positive,5
1347,HTS_TST,HtwcvP6RAqG,202407,EpiC,Clients of FSW,Negative,65
1356,HTS_TST,ruMRZxUJuQB,202409,EpiC,MSM,Positive,9
1359,HTS_TST,r7R9rELgrDG,202409,EpiC,MSM,Negative,9
1363,HTS_TST,qQrDL8Er7oK,202407,EpiC,MSM,Negative,25
1369,HTS_TST,HIrrlCfNOnY,202409,EpiC,Clients of FSW,Negative,2
1371,HTS_TST,H6JX5M2JufP,202407,EpiC,Clients of FSW,Positive,2
1382,HTS_TST,m8X9jmCtcFn,202408,EpiC,MSM,Positive,3
1392,HTS_TST,BXbb6kp6KGR,202407,EpiC,Clients of FSW,Negative,18
1407,HTS_TST,LUkORrTc7S5,202409,EpiC,MSM,Negative,178
1418,HTS_TST,F8tQsZ4mT5r,202408,EpiC,Clients of FSW,Negative,11
1419,HTS_TST,wkSDrxi0Eg1,202407,EpiC,Clients of FSW,Negative,1
1427,HTS_TST,CpVdOS3XNPi,202408,EpiC,Clients of FSW,Negative,19
1430,HTS_TST,AXkXOLqy9bU,202407,EpiC,MSM,Positive,36
1431,HTS_TST,U1ux1V3DH3b,202409,EpiC,MSM,Positive,5
1435,HTS_TST,sgl0bQRswOk,202407,EpiC,MSM,Negative,2
1441,HTS_TST,qWXHKrtFCqS,202408,EpiC,MSM,Negative,1
1458,HTS_TST,EAP4ZQHKcdc,202407,EpiC,MSM,Positive,9
1460,HTS_TST,lkwu9VuiXaP,202407,EpiC,MSM,Positive,21
1464,HTS_TST,DXiqxkvxkKa,202409,EpiC,Clients of FSW,Positive,1
1477,HTS_TST,VdBxCdUVexn,202409,EpiC,MSM,Positive,200
1484,HTS_TST,umuCczPKTS9,202408,EpiC,MSM,Positive,7
1486,HTS_TST,d4dgy6tPwxi,202408,EpiC,Clients of FSW,Positive,1
1488,HTS_TST,faIFaR8VI1W,202407,EpiC,MSM,Positive,11
1491,HTS_TST,LR5UaWYRYXB,202407,EpiC,MSM,Positive,13
1494,HTS_TST,uMVr3jx5oSa,202408,EpiC,Clients of FSW,Positive,4
1502,HTS_TST,pl0vG8YHEQY,202409,EpiC,MSM,Negative,6
1521,HTS_TST,l7ORqOxnoxp,202407,EpiC,Clients of FSW,Positive,3
1525,HTS_TST,SxnUefxZTCY,202409,EpiC,Clients of FSW,Negative,3
1526,HTS_TST,PyaDN9gPQAd,202409,EpiC,Clients of FSW,Negative,49
1529,HTS_TST,Prk5Eiysfk7,202409,EpiC,MSM,Negative,8617
1539,HTS_TST,QC1RnSsA73e,202408,EpiC,MSM,Positive,1
1545,HTS_TST,KrPh1XtYpSg,202407,EpiC,MSM,Positive,1
