,dx,co,pe,ou,co_1 All Populations,co_2 HIV Testing Status,value
3134,HTS_TST,gx0wuIIXWIh,202409,EpiC,MSM,Positive,7
3135,HTS_TST,Zl3Bk7hGE4C,202409,EpiC,MSM,Positive,1
3146,HTS_TST,RNfqGzx7O8d,202408,EpiC,MSM,Positive,3
3147,HTS_TST,efmtcRjVekS,202409,EpiC,Clients of FSW,Negative,6
3148,HTS_TST,Ga5lxqFVaPN,202407,EpiC,MSM,Positive,1
3150,HTS_TST,UFT42qTGPHW,202408,EpiC,Clients of FSW,Negative,4
3157,HTS_TST,NAfD9mU15l5,202408,EpiC,Clients of FSW,Negative,111
3159,HTS_TST,c7EE13c6cp7,202409,EpiC,Clients of FSW,Positive,1
3172,HTS_TST,NAfD9mU15l5,202409,EpiC,Clients of FSW,Negative,40
3179,HTS_TST,c7EE13c6cp7,202408,EpiC,Clients of FSW,Positive,4
3180,HTS_TST,obviluajFGG,202408,EpiC,Clients of FSW,Negative,54
3185,HTS_TST,wXk7406ynIV,202409,EpiC,MSM,Positive,4
3194,HTS_TST,GJbkRym6B9B,202409,EpiC,MSM,Negative,85
3196,HTS_TST,obviluajFGG,202407,EpiC,Clients of FSW,Negative,63
3199,HTS_TST,c7EE13c6cp7,202407,EpiC,Clients of FSW,Positive,2
3201,HTS_TST,mymUrbtS3c2,202409,EpiC,MSM,Negative,6
3206,HTS_TST,M9Co3BQ7dlm,202407,EpiC,Clients of FSW,Positive,2
3222,HTS_TST,FFknwnCtIq1,202407,EpiC,Clients of FSW,Positive,5
3229,HTS_TST,FFknwnCtIq1,202409,EpiC,Clients of FSW,Positive,5
3232,HTS_TST,GJbkRym6B9B,202407,EpiC,MSM,Negative,8
3244,HTS_TST,sGxc8cM27Fn,202409,EpiC,MSM,Negative,1837
3252,HTS_TST,KpNT1cyRF1c,202407,EpiC,Clients of FSW,Negative,22
3253,HTS_TST,FicEBM0EKtf,202409,EpiC,Clients of FSW,Positive,2
3270,HTS_TST,M9Co3BQ7dlm,202409,EpiC,Clients of FSW,Positive,1
3272,HTS_TST,K94OCF3LTZh,202408,EpiC,Clients of FSW,Negative,33
3273,HTS_TST,sGxc8cM27Fn,202407,EpiC,MSM,Negative,49
3276,HTS_TST,jsw5Kzd9Cgq,202408,EpiC,Clients of FSW,Positive,1
3280,HTS_TST,wm0DsVNv2O0,202407,EpiC,Clients of FSW,Negative,8
3287,HTS_TST,XlsI4SyZvz4,202407,EpiC,MSM,Positive,3
3295,HTS_TST,jsw5Kzd9Cgq,202407,EpiC,Clients of FSW,Positive,2
3298,HTS_TST,fXl53kju5sc,202407,EpiC,Clients of FSW,Positive,1
3299,HTS_TST,KpNT1cyRF1c,202408,EpiC,Clients of FSW,Negative,24
3318,HTS_TST,GJbkRym6B9B,202408,EpiC,MSM,Negative,8
3327,HTS_TST,obviluajFGG,202409,EpiC,Clients of FSW,Negative,14
3330,HTS_TST,iNM3fY9vWFe,202408,EpiC,Clients of FSW,Positive,1
3331,HTS_TST,wm0DsVNv2O0,202408,EpiC,Clients of FSW,Negative,3
3341,HTS_TST,zIVAoVIJs7m,202407,EpiC,MSM,Positive,1
3350,HTS_TST,M9Co3BQ7dlm,202408,EpiC,Clients of FSW,Positive,1
3352,HTS_TST,K94OCF3LTZh,202409,EpiC,Clients of FSW,Negative,10
3355,HTS_TST,sGxc8cM27Fn,202408,EpiC,MSM,Negative,33
3360,HTS_TST,TrF7ypCVvDF,202408,EpiC,Clients of FSW,Positive,1
3365,HTS_TST,FFknwnCtIq1,202408,EpiC,Clients of FSW,Positive,8
3397,HTS_TST,qprLkZVKErW,202407,EpiC,Clients of FSW,Positive,2
3399,HTS_TST,iNM3fY9vWFe,202409,EpiC,Clients of FSW,Positive,2
3403,HTS_TST,AiRAjfj4oc2,202408,EpiC,MSM,Negative,160
3418,HTS_TST,wm0DsVNv2O0,202409,EpiC,Clients of FSW,Negative,1
3420,HTS_TST,MiT96Ao4MbR,202409,EpiC,MSM,Negative,1335
3426,HTS_TST,IF0b2yl7GVV,202409,EpiC,MSM,Negative,9
3432,HTS_TST,AiRAjfj4oc2,202409,EpiC,MSM,Negative,1718
3452,HTS_TST,MiT96Ao4MbR,202407,EpiC,MSM,Negative,85
3468,HTS_TST,K94OCF3LTZh,202407,EpiC,Clients of FSW,Negative,44
3476,HTS_TST,prsou4ujheC,202408,EpiC,Clients of FSW,Positive,1
3500,HTS_TST,IF0b2yl7GVV,202407,EpiC,MSM,Negative,16
3504,HTS_TST,fXl53kju5sc,202408,EpiC,Clients of FSW,Positive,3
3507,HTS_TST,KpNT1cyRF1c,202409,EpiC,Clients of FSW,Negative,3
3510,HTS_TST,XlsI4SyZvz4,202408,EpiC,MSM,Positive,2
3515,HTS_TST,IF0b2yl7GVV,202408,EpiC,MSM,Negative,15
3522,HTS_TST,fXl53kju5sc,202409,EpiC,Clients of FSW,Positive,1
3531,HTS_TST,zIVAoVIJs7m,202409,EpiC,MSM,Positive,1
3539,HTS_TST,MiT96Ao4MbR,202408,EpiC,MSM,Negative,73
3560,HTS_TST,NAfD9mU15l5,202407,EpiC,Clients of FSW,Negative,75
3572,HTS_TST,vSpGm6hhUCF,202408,EpiC,MSM,Negative,44
3577,HTS_TST,ZRjPZ2QUU43,202407,EpiC,MSM,Positive,2
3584,HTS_TST,OARt3A9WQLs,202409,EpiC,MSM,Positive,1
3589,HTS_TST,gnAauwsdx1V,202407,EpiC,Clients of FSW,Positive,1
3592,HTS_TST,JZSFwJEoS3T,202408,EpiC,MSM,Positive,10
3601,HTS_TST,G40PtbYeGaX,202407,EpiC,MSM,Negative,8
3611,HTS_TST,sREz9xEX21J,202408,EpiC,Clients of FSW,Negative,56
3635,HTS_TST,sUkJbjTIucV,202408,EpiC,MSM,Negative,137
3641,HTS_TST,fj9TvXAtL6D,202408,EpiC,MSM,Negative,13
3646,HTS_TST,InpJ0UYGMSO,202409,EpiC,MSM,Negative,4344
3647,HTS_TST,YRxsnbj9pHG,202409,EpiC,MSM,Negative,10
3648,HTS_TST,SonJXg1GywM,202409,EpiC,MSM,Negative,5
3652,HTS_TST,OARt3A9WQLs,202407,EpiC,MSM,Positive,5
3672,HTS_TST,F9Gh8DKFj3H,202409,EpiC,MSM,Negative,2
3680,HTS_TST,SonJXg1GywM,202407,EpiC,MSM,Negative,3
3696,HTS_TST,g3g1dX587aS,202408,EpiC,Clients of FSW,Positive,4
3697,HTS_TST,XnufsHGUSIr,202409,EpiC,MSM,Positive,2
3698,HTS_TST,wb0HBy5LxsW,202408,EpiC,Clients of FSW,Positive,8
3705,HTS_TST,Bbo8xrI3TMH,202409,EpiC,MSM,Negative,2
3711,HTS_TST,ZOyrr3AsYgA,202408,EpiC,MSM,Negative,1
3722,HTS_TST,dcQG6h6PaWg,202408,EpiC,Clients of FSW,Positive,2
3724,HTS_TST,vhOZ95bTH6N,202409,EpiC,Clients of FSW,Negative,62
3732,HTS_TST,cQRFemBfrDi,202407,EpiC,Clients of FSW,Negative,2
3769,HTS_TST,G40PtbYeGaX,202409,EpiC,MSM,Negative,1781
3778,HTS_TST,mjUjLllZk6i,202408,EpiC,Clients of FSW,Positive,4
3804,HTS_TST,AiRAjfj4oc2,202407,EpiC,MSM,Negative,252
3817,HTS_TST,lzt5Pjdt9X5,202409,EpiC,Clients of FSW,Positive,1
3827,HTS_TST,PIKIChNVIRY,202408,EpiC,MSM,Negative,135
3829,HTS_TST,iNM3fY9vWFe,202407,EpiC,Clients of FSW,Positive,2
3835,HTS_TST,RFp38NjOA3y,202408,EpiC,MSM,Positive,2
3840,HTS_TST,puvCEABiRNM,202408,EpiC,Clients of FSW,Positive,2
3846,HTS_TST,kyZesr8ZEFW,202408,EpiC,Clients of FSW,Positive,2
3872,HTS_TST,X10xKqb53k4,202408,EpiC,Clients of FSW,Negative,42
3882,HTS_TST,Zl3Bk7hGE4C,202408,EpiC,MSM,Positive,1
3891,HTS_TST,RrkevgYjrxa,202408,EpiC,MSM,Negative,346
3896,HTS_TST,gx0wuIIXWIh,202408,EpiC,MSM,Positive,13
3905,HTS_TST,ii9Vcdw9zAG,202407,EpiC,Clients of FSW,Negative,1
3909,HTS_TST,yZEmtIOKJky,202409,EpiC,Clients of FSW,Positive,1
3911,HTS_TST,FicEBM0EKtf,202408,EpiC,Clients of FSW,Positive,2
3926,HTS_TST,uUL6zyihKd4,202409,EpiC,MSM,Positive,18
3953,HTS_TST,w7mPub5iKHm,202408,EpiC,Clients of FSW,Negative,1
3957,HTS_TST,XTy6TUzdj9c,202408,EpiC,MSM,Positive,4
3973,HTS_TST,vhOZ95bTH6N,202407,EpiC,Clients of FSW,Negative,192
3992,HTS_TST,LIsGRoPgB2J,202407,EpiC,MSM,Negative,2
3999,HTS_TST,XnuiyF6aKCk,202408,EpiC,Clients of FSW,Negative,1
4003,HTS_TST,NakBiglSCTu,202408,EpiC,Clients of FSW,Negative,26
4018,HTS_TST,U9s4xlQLKOu,202408,EpiC,MSM,Positive,3
4025,HTS_TST,f9IfQ5jWwKv,202408,EpiC,MSM,Positive,9
4034,HTS_TST,ZXbtrEufGI1,202409,EpiC,MSM,Negative,7
4041,HTS_TST,XnuiyF6aKCk,202409,EpiC,Clients of FSW,Negative,2
4068,HTS_TST,K7AP9nhPcQz,202409,EpiC,MSM,Negative,971
4077,HTS_TST,UAZdpeiS89D,202408,EpiC,Clients of FSW,Negative,19
4081,HTS_TST,gx0wuIIXWIh,202407,EpiC,MSM,Positive,12
4102,HTS_TST,JPWj8UAKPm3,202408,EpiC,MSM,Negative,1
4125,HTS_TST,Zl3Bk7hGE4C,202407,EpiC,MSM,Positive,2
4128,HTS_TST,ibtVaFPFCXo,202408,EpiC,MSM,Positive,4
4137,HTS_TST,Ecjr6B7YhXv,202409,EpiC,Clients of FSW,Positive,1
4140,HTS_TST,zm3GyzD4pm4,202408,EpiC,Clients of FSW,Negative,1
4142,HTS_TST,f9IfQ5jWwKv,202409,EpiC,MSM,Positive,1
4145,HTS_TST,U9s4xlQLKOu,202409,EpiC,MSM,Positive,8
4149,HTS_TST,LMS3sXVlBJS,202408,EpiC,MSM,Negative,43
4170,HTS_TST,UAZdpeiS89D,202409,EpiC,Clients of FSW,Negative,9
4180,HTS_TST,EWdfxniJwNF,202408,EpiC,MSM,Negative,48
4189,HTS_TST,Di7X3YYZQdK,202408,EpiC,Clients of FSW,Positive,1
4200,HTS_TST,XDYudGNzDUd,202409,EpiC,MSM,Positive,366
4207,HTS_TST,YDlLa2WxFi7,202409,EpiC,MSM,Negative,7750
4208,HTS_TST,H1VfEDidrjI,202407,EpiC,MSM,Negative,7
4215,HTS_TST,f5LmkBnmJ3O,202407,EpiC,Clients of FSW,Negative,18
4223,HTS_TST,XDYudGNzDUd,202408,EpiC,MSM,Positive,7
4224,HTS_TST,kba2UR76bx5,202407,EpiC,MSM,Negative,5
4232,HTS_TST,LMS3sXVlBJS,202409,EpiC,MSM,Negative,103
4238,HTS_TST,L8X8flF6ffj,202409,EpiC,MSM,Positive,20
4245,HTS_TST,lzt5Pjdt9X5,202407,EpiC,Clients of FSW,Positive,1
4292,HTS_TST,Hw4dcSiey3c,202408,EpiC,Clients of FSW,Positive,1
4305,HTS_TST,Bbo8xrI3TMH,202407,EpiC,MSM,Negative,1
4307,HTS_TST,twdCpm7pX27,202409,EpiC,MSM,Negative,245
4310,HTS_TST,bBS5OHjGyVG,202409,EpiC,MSM,Negative,462
4311,HTS_TST,g3g1dX587aS,202409,EpiC,Clients of FSW,Positive,5
4314,HTS_TST,GR4yPIeyYgn,202408,EpiC,MSM,Negative,31
4317,HTS_TST,ibtVaFPFCXo,202409,EpiC,MSM,Positive,91
4319,HTS_TST,uV2zaUCU4Vl,202407,EpiC,Clients of FSW,Negative,4
4343,HTS_TST,NakBiglSCTu,202407,EpiC,Clients of FSW,Negative,1
4345,HTS_TST,L8X8flF6ffj,202408,EpiC,MSM,Positive,1
4347,HTS_TST,InpJ0UYGMSO,202408,EpiC,MSM,Negative,295
4353,HTS_TST,DT3LpZWXFlR,202409,EpiC,Clients of FSW,Positive,1
4355,HTS_TST,LIsGRoPgB2J,202408,EpiC,MSM,Negative,6
4375,HTS_TST,JZSFwJEoS3T,202407,EpiC,MSM,Positive,5
4377,HTS_TST,HSO6su7eyv8,202407,EpiC,Clients of FSW,Negative,4
4382,HTS_TST,m8gPW8VTzDG,202409,EpiC,Clients of FSW,Positive,1
4388,HTS_TST,OKfZCgwuQkU,202407,EpiC,MSM,Positive,7
4396,HTS_TST,ZRjPZ2QUU43,202408,EpiC,MSM,Positive,2
4406,HTS_TST,InpJ0UYGMSO,202407,EpiC,MSM,Negative,307
4424,HTS_TST,hxzL5fSLwug,202407,EpiC,Clients of FSW,Positive,2
4441,HTS_TST,vhOZ95bTH6N,202408,EpiC,Clients of FSW,Negative,206
4442,HTS_TST,ZOyrr3AsYgA,202407,EpiC,MSM,Negative,3
4446,HTS_TST,vSpGm6hhUCF,202409,EpiC,MSM,Negative,76
4456,HTS_TST,XTy6TUzdj9c,202409,EpiC,MSM,Positive,127
4458,HTS_TST,zkLSB8mkPVk,202408,EpiC,MSM,Negative,23
4462,HTS_TST,reKRxJ3dpZ7,202407,EpiC,Clients of FSW,Negative,1
4464,HTS_TST,PdSJwtE7mI1,202407,EpiC,MSM,Negative,46
4475,HTS_TST,GR4yPIeyYgn,202409,EpiC,MSM,Negative,55
4477,HTS_TST,wb0HBy5LxsW,202409,EpiC,Clients of FSW,Positive,6
4503,HTS_TST,sUkJbjTIucV,202409,EpiC,MSM,Negative,2039
4511,HTS_TST,RFp38NjOA3y,202409,EpiC,MSM,Positive,7
4526,HTS_TST,uGG91cur10b,202409,EpiC,MSM,Positive,3
4527,HTS_TST,sREz9xEX21J,202407,EpiC,Clients of FSW,Negative,60
4570,HTS_TST,G1benkCcdil,202408,EpiC,Clients of FSW,Negative,1
4584,HTS_TST,IhkUe42INcI,202409,EpiC,MSM,Positive,27
4589,HTS_TST,EWdfxniJwNF,202407,EpiC,MSM,Negative,46
4601,HTS_TST,H1VfEDidrjI,202408,EpiC,MSM,Negative,9
4604,HTS_TST,PIKIChNVIRY,202407,EpiC,MSM,Negative,149
4634,HTS_TST,BBdtZjHDR2G,202409,EpiC,MSM,Negative,5
4647,HTS_TST,QsZ9J0NDpFh,202408,EpiC,MSM,Negative,755
4655,HTS_TST,qprLkZVKErW,202409,EpiC,Clients of FSW,Positive,1
4665,HTS_TST,JPWj8UAKPm3,202407,EpiC,MSM,Negative,4
4678,HTS_TST,QhD1Yme08VQ,202409,EpiC,MSM,Positive,14
4680,HTS_TST,xeqlWEue64U,202407,EpiC,Clients of FSW,Negative,4
4684,HTS_TST,RrkevgYjrxa,202407,EpiC,MSM,Negative,475
4687,HTS_TST,fj9TvXAtL6D,202409,EpiC,MSM,Negative,2667
4688,HTS_TST,X10xKqb53k4,202407,EpiC,Clients of FSW,Negative,27
4712,HTS_TST,rLhHb8ThUNr,202408,EpiC,Clients of FSW,Positive,1
4722,HTS_TST,K7AP9nhPcQz,202408,EpiC,MSM,Negative,200
4724,HTS_TST,OARt3A9WQLs,202408,EpiC,MSM,Positive,3
4727,HTS_TST,kyZesr8ZEFW,202409,EpiC,Clients of FSW,Positive,2
4732,HTS_TST,mjUjLllZk6i,202409,EpiC,Clients of FSW,Positive,2
4741,HTS_TST,CDpnMSTCzxf,202407,EpiC,MSM,Negative,33
4767,HTS_TST,CDpnMSTCzxf,202409,EpiC,MSM,Negative,2607
4790,HTS_TST,ebg4jkC3bpU,202409,EpiC,MSM,Positive,13
4792,HTS_TST,RNfqGzx7O8d,202409,EpiC,MSM,Positive,1
4812,HTS_TST,efmtcRjVekS,202408,EpiC,Clients of FSW,Negative,5
4815,HTS_TST,Nn2Hi8vwpPR,202408,EpiC,MSM,Negative,1
4838,HTS_TST,ahVkBEkFn7E,202408,EpiC,MSM,Negative,23
4844,HTS_TST,SxnUefxZTCY,202408,EpiC,Clients of FSW,Negative,1
4855,HTS_TST,zTGh5xvRTll,202407,EpiC,MSM,Negative,30
4857,HTS_TST,IjoZ8ulkWxl,202409,EpiC,MSM,Negative,757
4862,HTS_TST,oIXwYzSArGi,202409,EpiC,MSM,Negative,5
4869,HTS_TST,UCZtyHL8dEu,202409,EpiC,Clients of FSW,Negative,1
4877,HTS_TST,QhD1Yme08VQ,202408,EpiC,MSM,Positive,10
4887,HTS_TST,PyaDN9gPQAd,202407,EpiC,Clients of FSW,Negative,42
4888,HTS_TST,Nn2Hi8vwpPR,202407,EpiC,MSM,Negative,4
4891,HTS_TST,lkwu9VuiXaP,202408,EpiC,MSM,Positive,18
4896,HTS_TST,m1ZlpEPcFDy,202407,EpiC,MSM,Negative,43
4918,HTS_TST,oCsgWznK5tZ,202409,EpiC,MSM,Negative,9
4922,HTS_TST,aeZmo1nuHND,202407,EpiC,MSM,Positive,4
4923,HTS_TST,IjoZ8ulkWxl,202408,EpiC,MSM,Negative,37
4927,HTS_TST,BEj260ljrXI,202409,EpiC,Clients of FSW,Positive,1
4929,HTS_TST,eOMdBlEkmQx,202409,EpiC,MSM,Negative,151
4930,HTS_TST,DZchkTHrJnP,202409,EpiC,Clients of FSW,Negative,1
4939,HTS_TST,ahVkBEkFn7E,202409,EpiC,MSM,Negative,19
4951,HTS_TST,uHUfVux0gGZ,202409,EpiC,MSM,Positive,3
4956,HTS_TST,MtijxAhkdhp,202409,EpiC,Clients of FSW,Negative,5
4965,HTS_TST,eOr0wUnd5qn,202408,EpiC,MSM,Negative,70
4968,HTS_TST,sAbcfa6JnyT,202408,EpiC,Clients of FSW,Positive,1
4985,HTS_TST,x6mu9k9otwP,202407,EpiC,MSM,Positive,2
4992,HTS_TST,QmoswycNdCR,202408,EpiC,MSM,Negative,9
4993,HTS_TST,ar40QzNvRqY,202408,EpiC,Clients of FSW,Positive,3
4995,HTS_TST,XfesVxu7mPE,202407,EpiC,MSM,Positive,2
5026,HTS_TST,DONsmtG41dC,202409,EpiC,MSM,Negative,25
5034,HTS_TST,MbgXfJkjaM5,202409,EpiC,Clients of FSW,Positive,1
5039,HTS_TST,PSp2Tye9TUR,202407,EpiC,MSM,Negative,165
5043,HTS_TST,r6lCtITmTV5,202408,EpiC,Clients of FSW,Positive,2
5063,HTS_TST,r8YRRyumLLd,202408,EpiC,MSM,Positive,10
5092,HTS_TST,ebg4jkC3bpU,202407,EpiC,MSM,Positive,10
5097,HTS_TST,P0kE3O20UgM,202407,EpiC,Clients of FSW,Negative,120
5106,HTS_TST,wtgZ6KUE4Co,202408,EpiC,Clients of FSW,Negative,9
5107,HTS_TST,JZC5NyBYrun,202408,EpiC,Clients of FSW,Positive,8
5115,HTS_TST,aeZmo1nuHND,202409,EpiC,MSM,Positive,1
5117,HTS_TST,JZC5NyBYrun,202407,EpiC,Clients of FSW,Positive,14
5126,HTS_TST,zTGh5xvRTll,202409,EpiC,MSM,Negative,141
5128,HTS_TST,vAiOp9WBGkx,202409,EpiC,MSM,Positive,13
5163,HTS_TST,bhyNf6Uxwci,202409,EpiC,MSM,Negative,66
5167,HTS_TST,m8gPW8VTzDG,202408,EpiC,Clients of FSW,Positive,2
5180,HTS_TST,UFT42qTGPHW,202407,EpiC,Clients of FSW,Negative,1
5182,HTS_TST,zkLSB8mkPVk,202407,EpiC,MSM,Negative,37
5200,HTS_TST,P3RDL1BJi8E,202409,EpiC,Clients of FSW,Positive,1
5207,HTS_TST,TurcXCSre3p,202409,EpiC,Clients of FSW,Negative,57
5209,HTS_TST,OKfZCgwuQkU,202408,EpiC,MSM,Positive,10
5231,HTS_TST,P3RDL1BJi8E,202407,EpiC,Clients of FSW,Positive,10
5240,HTS_TST,zJbIKbb9nHz,202408,EpiC,MSM,Positive,2
5253,HTS_TST,HSO6su7eyv8,202408,EpiC,Clients of FSW,Negative,2
5274,HTS_TST,OSE9uU5wh5t,202407,EpiC,MSM,Positive,39
5292,HTS_TST,PdSJwtE7mI1,202408,EpiC,MSM,Negative,32
5314,HTS_TST,Q1xMNwbd67e,202409,EpiC,Clients of FSW,Negative,3
5317,HTS_TST,eWMsQvNdGjr,202407,EpiC,MSM,Positive,4
5319,HTS_TST,bhyNf6Uxwci,202407,EpiC,MSM,Negative,12
5320,HTS_TST,Hr9KuP9oTDZ,202408,EpiC,MSM,Positive,1
5327,HTS_TST,XFEfvzMajqf,202407,EpiC,Clients of FSW,Negative,2
5333,HTS_TST,cJWGNEMM0QP,202409,EpiC,Clients of FSW,Negative,35
5351,HTS_TST,uMVr3jx5oSa,202407,EpiC,Clients of FSW,Positive,2
5355,HTS_TST,qBqKMUCDz0Q,202407,EpiC,MSM,Positive,1
5364,HTS_TST,TurcXCSre3p,202407,EpiC,Clients of FSW,Negative,122
5379,HTS_TST,XDYudGNzDUd,202407,EpiC,MSM,Positive,5
5380,HTS_TST,F8tQsZ4mT5r,202409,EpiC,Clients of FSW,Negative,11
5386,HTS_TST,FJ3CpG1BjMl,202407,EpiC,MSM,Positive,10
5388,HTS_TST,CpVdOS3XNPi,202407,EpiC,Clients of FSW,Negative,52
5395,HTS_TST,H1VfEDidrjI,202409,EpiC,MSM,Negative,96
5399,HTS_TST,FJ3CpG1BjMl,202409,EpiC,MSM,Positive,5
5403,HTS_TST,IhkUe42INcI,202408,EpiC,MSM,Positive,41
5417,HTS_TST,LMS3sXVlBJS,202407,EpiC,MSM,Negative,73
5422,HTS_TST,m8X9jmCtcFn,202409,EpiC,MSM,Positive,25
5423,HTS_TST,XdmI0gx0HVG,202408,EpiC,MSM,Positive,5
5441,HTS_TST,zpQYaszlfH3,202408,EpiC,MSM,Negative,89
5452,HTS_TST,u4TxUrvTJ4s,202407,EpiC,MSM,Negative,1291
5453,HTS_TST,AXkXOLqy9bU,202408,EpiC,MSM,Positive,38
5465,HTS_TST,MtijxAhkdhp,202407,EpiC,Clients of FSW,Negative,12
5467,HTS_TST,FOaA4kdJfMm,202409,EpiC,MSM,Negative,825
5489,HTS_TST,VlgjAonWmLB,202408,EpiC,Clients of FSW,Negative,1
5491,HTS_TST,AeBsDvbaq1M,202408,EpiC,Clients of FSW,Negative,2
5508,HTS_TST,oJzjOOMWzwv,202408,EpiC,Clients of FSW,Positive,6
5529,HTS_TST,eWMsQvNdGjr,202409,EpiC,MSM,Positive,6
5543,HTS_TST,qBqKMUCDz0Q,202409,EpiC,MSM,Positive,5
5546,HTS_TST,QsZ9J0NDpFh,202407,EpiC,MSM,Negative,950
5570,HTS_TST,Q1xMNwbd67e,202407,EpiC,Clients of FSW,Negative,5
5581,HTS_TST,NakBiglSCTu,202409,EpiC,Clients of FSW,Negative,1
5582,HTS_TST,Yts7x3PtBUT,202408,EpiC,Clients of FSW,Negative,2
5596,HTS_TST,U9s4xlQLKOu,202407,EpiC,MSM,Positive,3
5601,HTS_TST,mKdRd2pKKoX,202409,EpiC,MSM,Negative,4
5602,HTS_TST,f9IfQ5jWwKv,202407,EpiC,MSM,Positive,12
5615,HTS_TST,wyVJfsO5p5c,202409,EpiC,MSM,Positive,35
5631,HTS_TST,EQIC0Os1S4C,202408,EpiC,MSM,Positive,2
5658,HTS_TST,LIsGRoPgB2J,202409,EpiC,MSM,Negative,11
5660,HTS_TST,LO4hwe7lmQe,202408,EpiC,MSM,Negative,24
5668,HTS_TST,ibtVaFPFCXo,202407,EpiC,MSM,Positive,2
5697,HTS_TST,aoF6Aq6iclZ,202409,EpiC,MSM,Negative,78
5698,HTS_TST,OWEeDc8HMQX,202409,EpiC,Clients of FSW,Negative,7
5732,HTS_TST,jKDv5Ns0taU,202409,EpiC,Clients of FSW,Negative,1
5734,HTS_TST,XegXc2FQRuJ,202408,EpiC,Clients of FSW,Positive,3
5738,HTS_TST,uV2zaUCU4Vl,202409,EpiC,Clients of FSW,Negative,7
5747,HTS_TST,uUL6zyihKd4,202407,EpiC,MSM,Positive,3
5803,HTS_TST,YDlLa2WxFi7,202408,EpiC,MSM,Negative,190
5814,HTS_TST,EaClOgCBByt,202407,EpiC,Clients of FSW,Positive,12
5828,HTS_TST,YiJkAJh8KIf,202408,EpiC,Clients of FSW,Positive,1
5829,HTS_TST,L8X8flF6ffj,202407,EpiC,MSM,Positive,1
5842,HTS_TST,EWdfxniJwNF,202409,EpiC,MSM,Negative,35
5844,HTS_TST,EAP4ZQHKcdc,202409,EpiC,MSM,Positive,29
5848,HTS_TST,x83sWTX9UtF,202409,EpiC,MSM,Negative,402
5850,HTS_TST,DXiqxkvxkKa,202407,EpiC,Clients of FSW,Positive,3
5861,HTS_TST,xKEaZMNqQoc,202409,EpiC,MSM,Positive,579
5865,HTS_TST,wUDGtMKweRe,202409,EpiC,MSM,Positive,1
5872,HTS_TST,OSE9uU5wh5t,202409,EpiC,MSM,Positive,27
5876,HTS_TST,DT3LpZWXFlR,202408,EpiC,Clients of FSW,Positive,4
5884,HTS_TST,lT64HUrbqRo,202407,EpiC,MSM,Negative,20
5885,HTS_TST,GR4yPIeyYgn,202407,EpiC,MSM,Negative,46
5904,HTS_TST,sS7Kt9UU9ix,202408,EpiC,Clients of FSW,Negative,1
5917,HTS_TST,kba2UR76bx5,202408,EpiC,MSM,Negative,2
5928,HTS_TST,hR4tFfQGmNv,202408,EpiC,Clients of FSW,Negative,20
5931,HTS_TST,H6JX5M2JufP,202409,EpiC,Clients of FSW,Positive,1
5942,HTS_TST,ZXbtrEufGI1,202408,EpiC,MSM,Negative,9
5951,HTS_TST,RSiPoGp9Z5I,202408,EpiC,Clients of FSW,Negative,1
5957,HTS_TST,gnAauwsdx1V,202408,EpiC,Clients of FSW,Positive,1
5959,HTS_TST,G40PtbYeGaX,202408,EpiC,MSM,Negative,4
5964,HTS_TST,LUkORrTc7S5,202407,EpiC,MSM,Negative,19
5968,HTS_TST,BGZpl2Ke2Tf,202408,EpiC,Clients of FSW,Positive,1
5977,HTS_TST,RaBuEijpO0j,202407,EpiC,Clients of FSW,Negative,52
5978,HTS_TST,BbjBOD2Sjg8,202409,EpiC,MSM,Negative,30
5981,HTS_TST,d87i4ajo5v4,202408,EpiC,MSM,Positive,1
5999,HTS_TST,Px3InhE0Bhv,202407,EpiC,MSM,Positive,20
6017,HTS_TST,XTy6TUzdj9c,202407,EpiC,MSM,Positive,3
6039,HTS_TST,prsou4ujheC,202407,EpiC,Clients of FSW,Positive,3
6049,HTS_TST,kuGbBUrbPag,202408,EpiC,MSM,Negative,1
6057,HTS_TST,bBS5OHjGyVG,202407,EpiC,MSM,Negative,243
6082,HTS_TST,fsH4sQSnDML,202407,EpiC,MSM,Negative,2
6094,HTS_TST,kyZesr8ZEFW,202407,EpiC,Clients of FSW,Positive,1
6113,HTS_TST,ojQAHMA0L4k,202408,EpiC,Clients of FSW,Positive,4
6117,HTS_TST,JZSFwJEoS3T,202409,EpiC,MSM,Positive,5
6121,HTS_TST,GCY1TTeB0Wd,202407,EpiC,Clients of FSW,Positive,1
6126,HTS_TST,GWk06LAwUXH,202408,EpiC,MSM,Positive,6
6127,HTS_TST,twdCpm7pX27,202407,EpiC,MSM,Negative,22
6138,HTS_TST,pl0vG8YHEQY,202407,EpiC,MSM,Negative,3
6142,HTS_TST,ouaHRoVbWPs,202408,EpiC,Clients of FSW,Positive,4
6144,HTS_TST,wQyWuQHzTnJ,202408,EpiC,MSM,Negative,1
6147,HTS_TST,WeWsNrrZQf0,202409,EpiC,MSM,Negative,2117
6152,HTS_TST,mjUjLllZk6i,202407,EpiC,Clients of FSW,Positive,5
6159,HTS_TST,faIFaR8VI1W,202409,EpiC,MSM,Positive,34
6165,HTS_TST,U1ux1V3DH3b,202407,EpiC,MSM,Positive,1
6190,HTS_TST,wkSDrxi0Eg1,202409,EpiC,Clients of FSW,Negative,1
